id,tier,question,cypher,n_rows,answer,seconds,error
1,1,Which genes are associated with Alzheimer disease?,"MATCH (g:Gene)-[r:Gene_Disease]->(d:Disease)
WHERE d.name_lower CONTAINS 'alzheimer'
RETURN g.id AS gene_id, g.name AS gene_name
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[r:Gene_Disease]->(d:Disease)
WHERE d.name_lower CONTAINS 'alzheimer'
RETURN g.id AS gene_id, g.name AS gene_name
LIMIT 25
```

The genes associated with Alzheimer disease are: A2M (alpha-2-macroglobulin), ZNRD2 (zinc ribbon domain containing 2), ZNF804A (zinc finger protein 804A), ZNF608 (zinc finger protein 608), ZNF423 (zinc finger protein 423), ZNF410 (zinc finger protein 410), ZNF415 (zinc finger protein 415), ZNF217 (zinc finger protein 217), ZMYND10 (zinc finger MYND-type containing 10), and ZIC1 (Zic family member 1).",13.2,
2,1,Which biological processes is the gene SIRT1 involved in?,"MATCH (g:Gene)-[r:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE g.id_lower = 'sirt1'
RETURN bp.name AS biological_process_name, bp.id AS biological_process_id
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[r:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE g.id_lower = 'sirt1'
RETURN bp.name AS biological_process_name, bp.id AS biological_process_id
LIMIT 25
```

Based on the retrieved results, the gene SIRT1 is involved in the following biological processes:

- rDNA heterochromatin formation (GO:0000183)
- positive regulation of nucleic acid-templated transcription (GO:1903508)
- regulation of cellular response to testosterone stimulus (GO:2000654)
- negative regulation of nucleic acid-templated transcription (GO:1903507)
- regulation of RNA biosynthetic process (GO:2001141)
- regulation of DNA catabolic process (GO:1903624)
- obsolete organic cyclic compound metabolic process (GO:1901360)
- regulation of nucleic acid-templated transcription (GO:1903506)
- obsolete organic substance biosynthetic process (GO:1901576)
- obsolete organic cyclic compound biosynthetic process (GO:1901362)",12.2,
3,1,What chemicals are associated with the gene APOE?,"MATCH (g:Gene)-[:Gene_ChemicalEntity]->(c:ChemicalEntity)
WHERE g.id_lower CONTAINS 'apoe'
RETURN c.name, c.id
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[:Gene_ChemicalEntity]->(c:ChemicalEntity)
WHERE g.id_lower CONTAINS 'apoe'
RETURN c.name, c.id
LIMIT 25
```

The chemicals associated with the gene APOE are:
- retinol (445354)
- [2,6-di(propan-2-yl)phenyl] N-[2-[2,4,6-tri(propan-2-yl)phenyl]acetyl]sulfamate (166558)
- [(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenyl] (Z)-octadec-9-enoate (11699609)
- (1S,12S,14R)-9-methoxy-4-methyl-11-oxa-4-azatetracyclo[8.6.1.01,12.06,17]heptadeca-6(17),7,9,15-tetraen-14-ol (9651)
- lovastatin (53232)
- 1,3-thiazol-5-ylmethyl N-[(2S,3S,5S)-3-hydroxy-5-[[(2S)-3-methyl-2-[[methyl-[(2-propan-2-yl-1,3-thiazol-4-yl)methyl]carbamoyl]amino]butanoyl]amino]-1,6-diphenylhexan-2-yl]carbamate (392622)
- Heparin (DB01109)
- hydroxide (961)
- 2-amino-9-(1,3-dihydroxypropan-2-yloxymethyl)-1H-purin-6-one (135398740)
- (2S,3R,4R,6R)-3-methoxy-2-methyl-4-(methylamino)-29-oxa-1,7,17-triazaoctacyclo[12.12.2.12,6.07,28.08,13.015,19.020,27.021,26]nonacosa-8,10,12,14,19,21,23,25,27-nonaen-16-one (44259)",13.5,
4,1,Which diseases is the gene TP53 associated with?,"MATCH (g:Gene)-[:Gene_Disease]->(d:Disease)
WHERE g.id_lower = 'tp53'
RETURN d.name, d.id
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[:Gene_Disease]->(d:Disease)
WHERE g.id_lower = 'tp53'
RETURN d.name, d.id
LIMIT 25
```

Based on the retrieved results, the gene TP53 is associated with the following diseases:
- Brain Diseases (D001927)
- epithelioid sarcoma (DOID:6193)
- Osteoarthritis (DOID:8398)
- lung small cell carcinoma (DOID:5409)
- colorectal cancer (DOID:9256)
- T-cell acute lymphoblastic leukemia (DOID:5603)
- choroid plexus carcinoma (DOID:5648)
- viral infectious disease (DOID:934)
- brain disease (DOID:936)
- kidney disease (DOID:557)",10.3,
5,1,What phenotypes are linked to the gene FOXO3?,"MATCH (g:Gene)-[:Gene_Phenotype]->(p:Phenotype)
WHERE g.id_lower CONTAINS 'foxo3'
RETURN p.name, p.id
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[:Gene_Phenotype]->(p:Phenotype)
WHERE g.id_lower CONTAINS 'foxo3'
RETURN p.name, p.id
LIMIT 25
```

Based on the retrieved results, the phenotypes linked to FOXO3 are:
- Atherosclerosis (HP:0002621)
- dermatitis
- homeostasis/metabolism phenotype
- increased heart weight
- decreased insulin secretion
- oocyte degeneration
- decreased startle reflex
- abnormal estrous cycle (MP:0001927)
- abnormal retina morphology (MP:0001325)
- abnormal T cell physiology",10.5,
6,1,Which proteins interact with the protein encoded by MTOR?,"MATCH (g:Gene {id_lower: 'mtor'})-[:Gene_Protein]->(p:Protein)
MATCH (p)-[:Protein_Protein]->(interacting:Protein)
RETURN DISTINCT interacting.id AS protein_id, interacting.name AS protein_name
LIMIT 25",10,"```cypher
MATCH (g:Gene {id_lower: 'mtor'})-[:Gene_Protein]->(p:Protein)
MATCH (p)-[:Protein_Protein]->(interacting:Protein)
RETURN DISTINCT interacting.id AS protein_id, interacting.name AS protein_name
LIMIT 25
```

Based on the retrieved results, the proteins that interact with the protein encoded by MTOR are:

- Ras-related protein Rab-19 (A4D1S5)
- Receptor-interacting serine/threonine-protein kinase 3 (Q9Y572)
- Transcription factor HES-2 (Q9Y543)
- Dolichyl-phosphate beta-glucosyltransferase (Q9Y673)
- Soluble lamin-associated protein of 75 kDa (Q9Y6X4)
- Disintegrin and metalloproteinase domain-containing protein 15 (U3KQL5)
- Lipid droplet-regulating VLDL assembly factor AUP1 (Q9Y679)
- Epsin-1 (Q9Y6I3)
- Nuclear receptor coactivator 3 (Q9Y6Q9)
- Centrosomal protein of 83 kDa (Q9Y592)",11.2,
7,1,What anatomical entities are associated with the gene IGF1?,"MATCH (g:Gene)-[:Gene_AnatomicalEntity]->(a:AnatomicalEntity)
WHERE g.id_lower CONTAINS 'igf1'
RETURN a.name AS anatomical_entity_name, a.id AS anatomical_entity_id
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[:Gene_AnatomicalEntity]->(a:AnatomicalEntity)
WHERE g.id_lower CONTAINS 'igf1'
RETURN a.name AS anatomical_entity_name, a.id AS anatomical_entity_id
LIMIT 25
```

The anatomical entities associated with the gene IGF1 are: nose, lens, whole organism, liver, muscle, visceral fat, blood plasma, head, anatomical structure, and skeletal muscle.",9.9,
8,1,Which pathways is CDKN2A part of?,"MATCH (g:Gene)-[:Gene_Pathway]->(p:Pathway)
WHERE g.id_lower = 'cdkn2a'
RETURN p.name AS pathway_name, p.id AS pathway_id
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[:Gene_Pathway]->(p:Pathway)
WHERE g.id_lower = 'cdkn2a'
RETURN p.name AS pathway_name, p.id AS pathway_id
LIMIT 25
```

CDKN2A is part of the following pathways:
- G1 Phase (R-HSA-69236)
- Cyclin D associated events in G1 (R-HSA-69231)
- SUMOylation of transcription factors (R-HSA-3232118)
- Nuclear events mediated by NFE2L2 (R-HSA-9759194)
- Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 (R-HSA-9630791)
- Cellular Senescence (R-HSA-2559583)
- Regulation of MITF-M-dependent genes involved in cell cycle and proliferation (R-HSA-9825892)
- Senescence-Associated Secretory Phenotype (SASP) (R-HSA-2559582)
- Regulation of TP53 Activity (R-HSA-5633007)
- Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6 (R-HSA-9630794)",12.2,
9,1,What molecular functions does the gene TERT have?,"MATCH (g:Gene)-[:Gene_MolecularFunction]->(mf:MolecularFunction)
WHERE g.id_lower CONTAINS 'tert'
RETURN mf.name, mf.id
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[:Gene_MolecularFunction]->(mf:MolecularFunction)
WHERE g.id_lower CONTAINS 'tert'
RETURN mf.name, mf.id
LIMIT 25
```

The gene TERT has the following molecular functions:
- organic cyclic compound binding (GO:0097159)
- metal ion binding (GO:0046872)
- transferase activity, transferring phosphorus-containing groups (GO:0016772)
- RNA-directed DNA polymerase activity (GO:0003964)
- cation binding (GO:0043169)
- catalytic activity (GO:0003824)
- protein dimerization activity (GO:0046983)
- nucleotidyltransferase activity (GO:0016779)
- DNA polymerase activity (GO:0034061)
- protein homodimerization activity (GO:0042803)",10.8,
10,1,Which chemicals are associated with cellular senescence?,"MATCH (c:ChemicalEntity)-[:ChemicalEntity_BiologicalProcess|ChemicalEntity_PositivelyAssociatedWith_BiologicalProcess|ChemicalEntity_NegativelyAssociatedWith_BiologicalProcess|ChemicalEntity_Promotes_BiologicalProcess|ChemicalEntity_Inhibits_BiologicalProcess|ChemicalEntity_NoEffect_BiologicalProcess|ChemicalEntity_NotAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'cellular senescence'
RETURN DISTINCT c.name AS chemical_name, c.id AS chemical_id
LIMIT 25",10,"```cypher
MATCH (c:ChemicalEntity)-[:ChemicalEntity_BiologicalProcess|ChemicalEntity_PositivelyAssociatedWith_BiologicalProcess|ChemicalEntity_NegativelyAssociatedWith_BiologicalProcess|ChemicalEntity_Promotes_BiologicalProcess|ChemicalEntity_Inhibits_BiologicalProcess|ChemicalEntity_NoEffect_BiologicalProcess|ChemicalEntity_NotAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'cellular senescence'
RETURN DISTINCT c.name AS chemical_name, c.id AS chemical_id
LIMIT 25
```

The chemicals associated with cellular senescence are: bisphenol A, sirolimus, N-(2-chloro-6-methylphenyl)-2-[[6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl]amino]-1,3-thiazole-5-carboxamide, (2S)-1-[4-[(5-cyclopropyl-1H-pyrazol-3-yl)amino]pyrrolo[2,1-f][1,2,4]triazin-2-yl]-N-(6-fluoropyridin-3-yl)-2-methylpyrrolidine-2-carboxamide, (7S,9S)-7-[(2R,4S,5S,6S)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7H-tetracene-5,12-dione, paraquat, hydrogen peroxide, (2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid, 4-N-(7-chloroquinolin-4-yl)-1-N,1-N-diethylpentane-1,4-diamine, and 4-[2-[[4-[[2-[(2-acetamido-3-methylbutanoyl)amino]-3-methylbutanoyl]amino]-3-hydroxy-6-methylheptanoyl]amino]propanoylamino]-3-hydroxy-6-methylheptanoic acid.",14.3,
11,2,Which genes are associated with both Alzheimer disease and cellular senescence?,"MATCH (g:Gene)-[:Gene_Disease]->(d:Disease)
WHERE d.name_lower CONTAINS 'alzheimer'
WITH g
MATCH (g)-[:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'cellular senescence'
RETURN DISTINCT g.id AS gene_id, g.name AS gene_name
LIMIT 25",10,"```cypher
MATCH (g:Gene)-[:Gene_Disease]->(d:Disease)
WHERE d.name_lower CONTAINS 'alzheimer'
WITH g
MATCH (g)-[:Gene_BiologicalProcess|Gene_PositivelyAssociatedWith_BiologicalProcess|Gene_NegativelyAssociatedWith_BiologicalProcess|Gene_Inhibits_BiologicalProcess|Gene_Promotes_BiologicalProcess|Gene_NotAssociatedWith_BiologicalProcess]->(bp:BiologicalProcess)
WHERE bp.name_lower CONTAINS 'cellular senescence'
RETURN DISTINCT g.id AS gene_id, g.name AS gene_name
LIMIT 25
```

The genes associated with both Alzheimer disease and cellular senescence are: **ABL1, BECN1, TP63, TERF2, TBX2, SIRT1, PRKCD, PML, NUP62, MIF**.",11.5,
12,2,What chemicals target genes that are associated with Parkinson disease?,"MATCH (d:Disease)-[:Disease_Gene]->(g:Gene)-[:Gene_ChemicalEntity]->(c:ChemicalEntity)
WHERE d.name_lower CONTAINS 'parkinson'
RETURN c.name AS chemical_name, c.id AS chemical_id, g.name AS gene_name, g.id AS gene_id
LIMIT 25",10,"```cypher
MATCH (d:Disease)-[:Disease_Gene]->(g:Gene)-[:Gene_ChemicalEntity]->(c:ChemicalEntity)
WHERE d.name_lower CONTAINS 'parkinson'
RETURN c.name AS chemical_name, c.id AS chemical_id, g.name AS gene_name, g.id AS gene_id
LIMIT 25
```

Based on the retrieved results, the chemicals targeting genes associated with Parkinson disease (specifically the gene *BST1* – bone marrow stromal cell antigen 1) are:

- [(2S,3R,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate (ID: 6093202)
- [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] dihydroxyphosphinothioyl hydrogen phosphate (ID: 440317)
- nicotinamide mononucleotide (ID: 14180)
- [[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carboxypyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate (ID: 123952)
- [[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate (ID: 5885)
- [[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoylpyridin-1-ium-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphate (ID: 5892)
- molecular hydrogen (ID: 783)
- [hydroxy-[[(2S,3S,4R,5R)-3-hydroxy-5-imidazo[2,1-f]purin-3-yl-4-phosphonooxyoxolan-2-yl]methoxy]phosphoryl] [(2R,3S,4S,5S)-3,4,5-trihydroxyoxolan-2-yl]methyl hydrogen phosphate (ID: 46936772)
- glycerol (ID: 753)
- Adenosine-5'-Diphosphate Monothiophosphate (ID: DB01660)

All these chemicals are associated with the gene *BST1*, which is linked to Parkinson disease in the knowledge graph.",13.2,
